Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
PLA-10,PLA,6/26/23,41,9,fr,0,2,1,9,2,4,0,8,144,0.839,0.0048,
PLA-11,PLA,6/26/23,40,6,fl,0,2,0,6,13,0,0,16,164,0.897,0.0046,
PLA-12,PLA,6/26/23,21,7,fl,1,1,0,5,5,5,0,8,48,0.649,0.0032,
PLA-13,PLA,6/26/23,34,9,fl,3,0,0,7,0.5,0,0,20,124,1.168,0.0056,
PLA-14,PLA,6/26/23,27,6,fl,0,2,0,5,0,0,0,8,116,1.059,0.0066,
PLA-15,PLA,6/26/23,54,6,fl,1,1,0,16,7,0,0,28,148,1.378,0.0083,
PLA-16,PLA,6/26/23,45,6,fl,0,3,0,10,7,1,0,4,168,1.789,0.0116,
PLA-17,PLA,6/26/23,27,3,fl,0,5,0,8,0.1,0,0,4,96,1.084,0.0046,
PLA-18,PLA,6/26/23,41,7,fl,0,3,0,10,2,4,0,8,124,1.23,0.0082,
PLA-19,PLA,6/26/23,37,5,fl,0,1,0,8,6,0,0,16,136,1.391,0.0093,
PLA-20,PLA,6/26/23,40,5,fl,0,1,0,5,11,0,0,4,148,1.128,0.0066,
PLA-21,PLA,6/26/23,36,4,fl,3,0,0,2,10,10,0,8,72,0.966,0.0071,
PLA-22,PLA,6/26/23,47,7,fl,0,3,0,7,10,0,0,12,132,1.162,0.0078,
PLA-23,PLA,6/26/23,33,5,fl,1,0,0,6,1,0.5,0,4,104,1.06,0.0072,
PLA-24,PLA,6/26/23,35,6,fl,1,1,0,5,10,1,0,12,144,1.157,0.0073,
PLA-25,PLA,6/26/23,37,6,fl,0,1,0,7,20,0,0,8,112,0.879,0.0061,
PLA-26,PLA,6/26/23,33,6,fl,0,2,0,5,4,1,0,4,132,1.448,0.009,
PLA-27,PLA,6/26/23,41,8,fl,2,0,0,7,12,0,0,16,148,1.253,0.0092,
PLA-28,PLA,6/26/23,52,6,fl,1,1,0,7,14,0,0,20,140,1.13,0.0073,
PLA-29,PLA,6/26/23,41,5,fl,1,0,0,9,10,6,0,8,134,1.506,0.0097,
PLA-30,PLA,6/26/23,40,6,fr,0,1,1,3,10,5,0,24,96,1.189,0.0061,
